presentation_signature,cards,distinct_presentation_keys,pharmacies,min_price,max_price
"diclofenaco 50mg::oftic~1mg/1ml~ophthalmic~-~-~10",1,1,1,20392,20392
"diclofenaco 50mg::lertus~-~injectable~-~5~-",1,1,1,21735,21735
"diclofenaco 50mg::prolertus~-~solid-oral~-~20~-",1,1,1,22439,22439
"diclofenaco 50mg::oftic~-~ophthalmic~-~-~10",1,1,2,23990,23990
"diclofenaco 50mg::oftic~-~fluid-oral~-~-~25",1,1,1,24190,24190
"diclofenaco 50mg::lertus~75mg~injectable~-~5~3",1,1,1,24390,24390
"diclofenaco 50mg::ofteno~-~ophthalmic~-~-~5",1,1,2,24900,24900
"ibuprofeno 400mg::pyriped~-~solid-oral~-~10~-",1,1,1,2290,2290
"ibuprofeno 400mg::kitadol~-~solid-oral~-~10~-",1,1,1,2490,2490
"ibuprofeno 400mg::tapsin~-~solid-oral~ibuprofeno~12~-",1,1,1,2612,2612
"ibuprofeno 400mg::finagrip~-~solid-oral~-~10~-",1,1,1,2990,2990
"ibuprofeno 400mg::kitadol~-~solid-oral~paracetamol~10~-",1,1,1,3674,3674
"ibuprofeno 400mg::dolad~200mg/5ml~fluid-oral~-~-~120",1,1,1,1990,1990
"ibuprofeno 400mg::ibufren~200mg/5ml~fluid-oral~-~-~100",1,1,1,2290,2290
"ibuprofeno 400mg::ibuprofeno~200mg/5ml~fluid-oral~-~-~120",1,1,1,2430,2430
"ibuprofeno 400mg::bediatil~200mg/5ml~fluid-oral~-~-~100",1,1,1,2490,2490
"ibuprofeno 400mg::ibualiv~100mg/5ml~fluid-oral~-~-~100",1,1,1,2550,2550
"ibuprofeno 400mg::pyriped~100mg/5ml~fluid-oral~-~-~100",1,1,2,2990,2990
"ibuprofeno 400mg::actron~-~-~-~-~-",1,1,1,2990,2990
"ibuprofeno 400mg::ibuprofeno~-~solid-oral~-~10~-",1,1,1,3167,3167
"ibuprofeno 400mg::ibufren~200mg/5ml~-~-~-~100",1,1,1,3596,3596
"ibuprofeno 400mg::pyriped~200mg/5ml~fluid-oral~-~-~100",1,1,1,3990,3990
"ibuprofeno 400mg::ibuprofeno~200mg/5ml~-~-~-~120",1,1,1,4690,4690
"ibuprofeno 400mg::doraliv~-~-~-~10~-",1,1,1,4990,4990
"ibuprofeno 400mg::ibuprofeno~200mg~fluid-oral~-~-~120",1,1,1,5367,5367
"ibuprofeno 400mg::ibualiv~200mg/5ml~fluid-oral~-~-~100",1,1,1,5524,5524
"ibuprofeno 400mg::ipson~100mg/5ml~fluid-oral~-~-~120",1,1,1,6582,6582
"ibuprofeno 400mg::algiasol~200mg/5ml~fluid-oral~-~-~100",1,1,1,6746,6746
"ibuprofeno 400mg::ipson~200mg/5ml~fluid-oral~-~-~120",1,1,2,6990,6990
"ibuprofeno 400mg::ipsond~15mg/5ml~-~-~-~120",1,1,1,7430,7430
"ibuprofeno 400mg::pironal~-~fluid-oral~-~-~100",1,1,1,10990,10990
"ibuprofeno 400mg::niofen~-~solid-oral~-~10~-",1,1,1,11490,11490
"ibuprofeno 400mg::ipson~-~fluid-oral~-~-~120",1,1,1,11990,11990
"ibuprofeno 400mg::triofeno~-~solid-oral~-~20~-",1,1,1,13090,13090
"ibuprofeno 400mg::pironal~200mg~fluid-oral~-~-~100",1,1,1,17390,17390
"ibuprofeno 400mg::pironal~200mg/5ml~fluid-oral~-~-~100",1,1,1,19290,19290
"ibuprofeno::dolad~200mg/5ml~fluid-oral~-~-~120",1,1,1,1990,1990
"ibuprofeno::pyriped~-~solid-oral~-~10~-",1,1,1,2290,2290
"ibuprofeno::ibufren~200mg/5ml~fluid-oral~-~-~100",1,1,1,2290,2290
"ibuprofeno::ibuprofeno~200mg/5ml~fluid-oral~-~-~120",1,1,1,2430,2430
"ibuprofeno::kitadol~-~solid-oral~-~10~-",1,1,1,2490,2490
"ibuprofeno::bediatil~200mg/5ml~fluid-oral~-~-~100",1,1,1,2490,2490
"ibuprofeno::ibualiv~100mg/5ml~fluid-oral~-~-~100",1,1,1,2550,2550
"ibuprofeno::tapsin~-~solid-oral~ibuprofeno~12~-",1,1,1,2612,2612
"ibuprofeno::finagrip~-~solid-oral~-~10~-",1,1,1,2990,2990
"ibuprofeno::pyriped~100mg/5ml~fluid-oral~-~-~100",1,1,2,2990,2990
"ibuprofeno::actron~-~-~-~-~-",1,1,1,2990,2990
"ibuprofeno::ibuprofeno~-~solid-oral~-~10~-",1,1,1,3167,3167
"ibuprofeno::ibufren~200mg/5ml~-~-~-~100",1,1,1,3596,3596
"ibuprofeno::kitadol~-~solid-oral~paracetamol~10~-",1,1,1,3674,3674
"ibuprofeno::pyriped~200mg/5ml~fluid-oral~-~-~100",1,1,1,3990,3990
"ibuprofeno::ibuprofeno~200mg/5ml~-~-~-~120",1,1,1,4690,4690
"ibuprofeno::doraliv~-~-~-~10~-",1,1,1,4990,4990
"ibuprofeno::ibuprofeno~200mg~fluid-oral~-~-~120",1,1,1,5367,5367
"ibuprofeno::ibualiv~200mg/5ml~fluid-oral~-~-~100",1,1,1,5524,5524
"ibuprofeno::ipson~100mg/5ml~fluid-oral~-~-~120",1,1,1,6582,6582
"ibuprofeno::algiasol~200mg/5ml~fluid-oral~-~-~100",1,1,1,6746,6746
"ibuprofeno::ipson~200mg/5ml~fluid-oral~-~-~120",1,1,2,6990,6990
"ibuprofeno::ipsond~15mg/5ml~-~-~-~120",1,1,1,7430,7430
"ibuprofeno::pironal~-~fluid-oral~-~-~100",1,1,1,10990,10990
"ibuprofeno::niofen~-~solid-oral~-~10~-",1,1,1,11490,11490
"ibuprofeno::ipson~-~fluid-oral~-~-~120",1,1,1,11990,11990
"ibuprofeno::triofeno~-~solid-oral~-~20~-",1,1,1,13090,13090
"ibuprofeno::pironal~200mg~fluid-oral~-~-~100",1,1,1,17390,17390
"ibuprofeno::pironal~200mg/5ml~fluid-oral~-~-~100",1,1,1,19290,19290
"losartan 50mg::lopren~-~solid-oral~-~30~-",1,1,1,7890,7890
"losartan 50mg::lorsartan~-~solid-oral~hidroclorotiazida~30~-",1,1,1,6247,6247
"losartan 50mg::simperten~-~solid-oral~-~30~-",1,1,1,12400,12400
"losartan 50mg::simpertend~-~solid-oral~losartan~30~-",1,1,1,26575,26575
"losartan 50mg::hyzaar~-~solid-oral~losartan~30~-",1,1,1,30359,30359
"losartan 50mg::hyzaar~-~-~-~-~-",1,1,1,17990,17990
"losartan 50mg::tellmi~-~solid-oral~-~30~-",1,1,1,24494,24494
"losartan 50mg::simpertend~-~-~-~-~-",1,1,1,26990,26990
"losartan 50mg::cordiax~-~solid-oral~-~40~-",1,1,1,40099,40099
"losartan::lorsartan~-~solid-oral~hidroclorotiazida~30~-",1,1,1,6247,6247
"losartan::lopren~-~solid-oral~-~30~-",1,1,1,7890,7890
"losartan::simperten~-~solid-oral~-~30~-",1,1,1,12400,12400
"losartan::hyzaar~-~-~-~-~-",1,1,1,17990,17990
"losartan::tellmi~-~solid-oral~-~30~-",1,1,1,24494,24494
"losartan::simpertend~-~solid-oral~losartan~30~-",1,1,1,26575,26575
"losartan::simpertend~-~-~-~-~-",1,1,1,26990,26990
"losartan::hyzaar~-~solid-oral~losartan~30~-",1,1,1,30359,30359
"losartan::cordiax~-~solid-oral~-~40~-",1,1,1,40099,40099
"omeprazol 20mg::omeprazol~-~-~-~30~-",1,1,1,1690,1690
"omeprazol 20mg::omeprazol~40mg/10ml~injectable~-~1~-",1,1,1,1000,1000
"omeprazol 20mg::omeprazol~-~injectable~-~10~-",1,1,1,12990,12990
"omeprazol 20mg::obexol~-~solid-oral~-~30~-",1,1,1,17142,17142
"omeprazol 20mg::esomeprazol~-~-~-~30~-",1,1,1,5990,5990
"omeprazol 20mg::flectane~-~solid-oral~-~30~-",1,1,1,9600,9600
"omeprazol::omeprazol~40mg/10ml~injectable~-~1~-",1,1,1,1000,1000
"omeprazol::omeprazol~-~-~-~30~-",1,1,1,1690,1690
"omeprazol::omeprazol~-~injectable~-~10~-",1,1,1,12990,12990
"omeprazol::obexol~-~solid-oral~-~30~-",1,1,1,17142,17142
"omeprazol::esomeprazol~-~-~-~30~-",1,1,1,5990,5990
"omeprazol::flectane~-~solid-oral~-~30~-",1,1,1,9600,9600
"paracetamol 500mg::tapsin~-~fluid-oral~-~1~-",1,1,1,810,810
"paracetamol 500mg::paracetamol~-~solid-oral~-~80~-",1,1,1,2290,2290
"paracetamol 500mg::tapsn~-~solid-oral~-~24~-",1,1,1,2815,2815
"paracetamol 500mg::bufferin~-~solid-oral~-~12~-",1,1,1,3074,3074
"paracetamol 500mg::paracetamol~-~fluid-oral~-~-~-",1,1,1,1390,1390
"paracetamol 500mg::paracetamol~-~-~-~-~-",1,1,1,1490,1490
"paracetamol 500mg::anacin~-~solid-oral~-~8~-",1,1,1,1990,1990
"paracetamol 500mg::tapsin~-~solid-oral~ibuprofeno~12~-",1,1,1,2612,2612
"paracetamol 500mg::tapsi~-~solid-oral~-~10~-",1,1,1,2651,2651
"paracetamol 500mg::cortigrip~-~-~-~-~-",1,1,1,3490,3490
"paracetamol 500mg::kitadol~-~solid-oral~paracetamol~10~-",1,1,1,3674,3674
"paracetamol 500mg::tapsin~-~solid-oral~-~20~-",1,1,1,3783,3783
"paracetamol 500mg::paracetamol~-~-~tramadol~-~-",1,1,1,4990,4990
"paracetamol 500mg::cronotan~-~solid-oral~-~20~-",1,1,1,9990,9990
"paracetamol 500mg::cronus~-~solid-oral~-~30~-",1,1,1,16990,16990
"paracetamol 500mg::paracetamol~-~solid-oral~-~100~-",1,1,1,590,590
"paracetamol 500mg::paracetamol~100mg/1ml~-~-~-~15",1,1,1,990,990
"paracetamol 500mg::paracetamol~-~-~-~16~-",1,1,1,1200,1200
"paracetamol 500mg::paracetamol~100mg/1ml~fluid-oral~-~-~-",1,1,1,1490,1490
"paracetamol 500mg::dolsom~100mg/1ml~fluid-oral~-~-~30",1,1,1,1800,1800
"paracetamol 500mg::dropol~100mg/1ml~fluid-oral~-~-~15",1,1,1,1990,1990
"paracetamol 500mg::kitadol~100mg~fluid-oral~-~-~15",1,1,1,2400,2400
"paracetamol 500mg::paracetamol~100mg~fluid-oral~-~-~15",1,1,2,2690,2690
"paracetamol 500mg::tapsin~-~solid-oral~-~12~-",1,1,1,2700,2700
"paracetamol 500mg::algiafin~120mg/5ml~fluid-oral~-~-~60",1,1,1,2760,2760
"paracetamol 500mg::paracetamol~1000mg/100ml~injectable~-~1~-",1,1,1,2990,2990
"paracetamol 500mg::panadol~100mg/1ml~fluid-oral~-~-~15",1,1,1,3380,3380
"paracetamol 500mg::tapsin~100mg/1ml~fluid-oral~-~-~15",1,1,1,3480,3480
"paracetamol 500mg::kitadol~100mg/1ml~fluid-oral~-~-~15",1,1,1,3487,3487
"paracetamol 500mg::algiafin~-~fluid-oral~-~-~60",1,1,1,3490,3490
"paracetamol 500mg::gesidol~-~fluid-oral~-~-~15",1,1,1,3519,3519
"paracetamol 500mg::bromhexina~4mg/5ml~fluid-oral~-~-~100",1,1,1,3990,3990
"paracetamol 500mg::alividol~-~-~-~-~-",1,1,1,3990,3990
"paracetamol 500mg::kitadol~-~fluid-oral~-~-~15",1,1,1,4017,4017
"paracetamol 500mg::panadol~-~fluid-oral~-~-~15",1,1,1,4135,4135
"paracetamol 500mg::tapsin~-~fluid-oral~-~-~15",1,1,1,4223,4223
"paracetamol 500mg::kitadol~120mg/5ml~fluid-oral~-~-~100",1,1,1,4470,4470
"paracetamol 500mg::paracetamol~-~solid-oral~tramadol~30~-",1,1,1,4850,4850
"paracetamol 500mg::tramadol~-~solid-oral~paracetamol~30~-",1,1,1,4850,4850
"paracetamol 500mg::desdol~-~solid-oral~-~20~-",1,1,1,4950,4950
"paracetamol 500mg::winasorb~150mg/5ml~fluid-oral~-~-~60",1,1,3,4990,4990
"paracetamol 500mg::ambroxol~15mg/5ml~fluid-oral~-~-~100",1,1,1,5490,5490
"paracetamol 500mg::tral~-~solid-oral~-~30~-",1,1,1,5850,5850
"paracetamol 500mg::tramadol~100mg/1ml~fluid-oral~-~-~20",1,1,1,5990,5990
"paracetamol 500mg::paracetamol~-~solid-oral~-~10~-",1,1,1,6999,6999
"paracetamol 500mg::sales~-~fluid-oral~-~4~-",1,1,1,7190,7190
"paracetamol 500mg::tapsin~120mg/5ml~fluid-oral~-~-~100",1,1,1,7890,7890
"paracetamol 500mg::kitadol~-~fluid-oral~-~-~100",1,1,1,7950,7950
"paracetamol 500mg::panadol~-~fluid-oral~-~-~90",1,1,1,8449,8449
"paracetamol 500mg::sales~-~fluid-oral~-~8~-",1,1,1,9290,9290
"paracetamol 500mg::salbutamol~-~inhaled~-~-~20",1,1,1,13490,13490
"paracetamol 500mg::ipratropio~-~inhaled~-~-~20",1,1,1,16990,16990
"paracetamol 500mg::bonavid~-~fluid-oral~-~-~2",1,1,1,18390,18390
"paracetamol 500mg::betacort~0.5mg/1ml~fluid-oral~-~-~30",1,1,1,21590,21590
"paracetamol 500mg::lirex~-~solid-oral~-~30~-",1,1,1,22989,22989
"paracetamol 500mg::uroplus~-~fluid-oral~-~1~-",1,1,1,35440,35440
"paracetamol 500mg::combodart~-~solid-oral~-~30~-",1,1,1,38690,38690
"paracetamol 500mg::trelegy~-~inhaled~-~-~-",1,1,1,93463,93463
"paracetamol::paracetamol~-~solid-oral~-~100~-",1,1,1,590,590
"paracetamol::tapsin~-~fluid-oral~-~1~-",1,1,1,810,810
"paracetamol::paracetamol~100mg/1ml~-~-~-~15",1,1,1,990,990
"paracetamol::paracetamol~-~-~-~16~-",1,1,1,1200,1200
"paracetamol::paracetamol~-~fluid-oral~-~-~-",1,1,1,1390,1390
"paracetamol::paracetamol~-~-~-~-~-",1,1,1,1490,1490
"paracetamol::paracetamol~100mg/1ml~fluid-oral~-~-~-",1,1,1,1490,1490
"paracetamol::dolsom~100mg/1ml~fluid-oral~-~-~30",1,1,1,1800,1800
"paracetamol::anacin~-~solid-oral~-~8~-",1,1,1,1990,1990
"paracetamol::dropol~100mg/1ml~fluid-oral~-~-~15",1,1,1,1990,1990
"paracetamol::paracetamol~-~solid-oral~-~80~-",1,1,1,2290,2290
"paracetamol::kitadol~100mg~fluid-oral~-~-~15",1,1,1,2400,2400
"paracetamol::tapsin~-~solid-oral~ibuprofeno~12~-",1,1,1,2612,2612
"paracetamol::tapsi~-~solid-oral~-~10~-",1,1,1,2651,2651
"paracetamol::paracetamol~100mg~fluid-oral~-~-~15",1,1,2,2690,2690
"paracetamol::tapsin~-~solid-oral~-~12~-",1,1,1,2700,2700
"paracetamol::algiafin~120mg/5ml~fluid-oral~-~-~60",1,1,1,2760,2760
"paracetamol::tapsn~-~solid-oral~-~24~-",1,1,1,2815,2815
"paracetamol::paracetamol~1000mg/100ml~injectable~-~1~-",1,1,1,2990,2990
"paracetamol::bufferin~-~solid-oral~-~12~-",1,1,1,3074,3074
"paracetamol::panadol~100mg/1ml~fluid-oral~-~-~15",1,1,1,3380,3380
"paracetamol::tapsin~100mg/1ml~fluid-oral~-~-~15",1,1,1,3480,3480
"paracetamol::kitadol~100mg/1ml~fluid-oral~-~-~15",1,1,1,3487,3487
"paracetamol::cortigrip~-~-~-~-~-",1,1,1,3490,3490
"paracetamol::algiafin~-~fluid-oral~-~-~60",1,1,1,3490,3490
"paracetamol::gesidol~-~fluid-oral~-~-~15",1,1,1,3519,3519
"paracetamol::kitadol~-~solid-oral~paracetamol~10~-",1,1,1,3674,3674
"paracetamol::tapsin~-~solid-oral~-~20~-",1,1,1,3783,3783
"paracetamol::bromhexina~4mg/5ml~fluid-oral~-~-~100",1,1,1,3990,3990
"paracetamol::alividol~-~-~-~-~-",1,1,1,3990,3990
"paracetamol::kitadol~-~fluid-oral~-~-~15",1,1,1,4017,4017
"paracetamol::panadol~-~fluid-oral~-~-~15",1,1,1,4135,4135
"paracetamol::tapsin~-~fluid-oral~-~-~15",1,1,1,4223,4223
"paracetamol::kitadol~120mg/5ml~fluid-oral~-~-~100",1,1,1,4470,4470
"paracetamol::paracetamol~-~solid-oral~tramadol~30~-",1,1,1,4850,4850
"paracetamol::tramadol~-~solid-oral~paracetamol~30~-",1,1,1,4850,4850
"paracetamol::desdol~-~solid-oral~-~20~-",1,1,1,4950,4950
"paracetamol::paracetamol~-~-~tramadol~-~-",1,1,1,4990,4990
"paracetamol::winasorb~150mg/5ml~fluid-oral~-~-~60",1,1,3,4990,4990
"paracetamol::ambroxol~15mg/5ml~fluid-oral~-~-~100",1,1,1,5490,5490
"paracetamol::tral~-~solid-oral~-~30~-",1,1,1,5850,5850
"paracetamol::tramadol~100mg/1ml~fluid-oral~-~-~20",1,1,1,5990,5990
"paracetamol::paracetamol~-~solid-oral~-~10~-",1,1,1,6999,6999
"paracetamol::sales~-~fluid-oral~-~4~-",1,1,1,7190,7190
"paracetamol::tapsin~120mg/5ml~fluid-oral~-~-~100",1,1,1,7890,7890
"paracetamol::kitadol~-~fluid-oral~-~-~100",1,1,1,7950,7950
"paracetamol::panadol~-~fluid-oral~-~-~90",1,1,1,8449,8449
"paracetamol::sales~-~fluid-oral~-~8~-",1,1,1,9290,9290
"paracetamol::cronotan~-~solid-oral~-~20~-",1,1,1,9990,9990
"paracetamol::salbutamol~-~inhaled~-~-~20",1,1,1,13490,13490
"paracetamol::cronus~-~solid-oral~-~30~-",1,1,1,16990,16990
"paracetamol::ipratropio~-~inhaled~-~-~20",1,1,1,16990,16990
"paracetamol::bonavid~-~fluid-oral~-~-~2",1,1,1,18390,18390
"paracetamol::betacort~0.5mg/1ml~fluid-oral~-~-~30",1,1,1,21590,21590
"paracetamol::lirex~-~solid-oral~-~30~-",1,1,1,22989,22989
"paracetamol::uroplus~-~fluid-oral~-~1~-",1,1,1,35440,35440
"paracetamol::combodart~-~solid-oral~-~30~-",1,1,1,38690,38690
"paracetamol::trelegy~-~inhaled~-~-~-",1,1,1,93463,93463
"tapsin::tapsin~-~solid-oral~-~600~-",1,1,1,690,690
"tapsin::paracetamol~-~solid-oral~-~16~-",1,1,1,690,690
"tapsin::paracetamol~-~suppository~-~6~-",1,1,1,1190,1190
"tapsin::paracetamol~-~fluid-oral~-~-~-",1,1,1,1390,1390
"tapsin::paracetamol~100mg/1ml~fluid-oral~-~-~-",1,1,1,1490,1490
"tapsin::paracetamol~-~-~-~-~-",1,1,1,1490,1490
"tapsin::anacin~-~solid-oral~-~8~-",1,1,1,1990,1990
"tapsin::tapsin~-~solid-oral~cafeina~12~-",1,1,1,2375,2375
"tapsin::tapsin~-~solid-oral~ibuprofeno~12~-",1,1,1,2612,2612
"tapsin::tapsi~-~solid-oral~-~10~-",1,1,1,2651,2651
"tapsin::tapsn~-~solid-oral~-~24~-",1,1,1,2815,2815
"tapsin::algiafin~-~fluid-oral~-~-~60",1,1,1,3490,3490
"tapsin::cortigrip~-~-~-~-~-",1,1,1,3490,3490
"tapsin::alividol~-~-~-~-~-",1,1,1,3990,3990
"tapsin::tapsin~-~fluid-oral~-~-~15",1,1,1,4223,4223
"tapsin::paracetamol~-~-~tramadol~-~-",1,1,1,4990,4990
"tapsin::tapsi~-~solid-oral~-~18~-",1,1,1,5279,5279
"tapsin::tapsin~-~solid-oral~ibuprofeno~30~-",1,1,1,6399,6399
"tapsin::brevex~-~solid-oral~-~20~-",1,1,1,10990,10990
"tapsin::cronus~-~solid-oral~-~30~-",1,1,1,16990,16990
